Image,Contrast,Folder
43.jpg,27645.644574120466,check2
44.jpg,4200.491673199051,check2
45.jpg,46309.4189394971,check2
46.jpg,25951.415881948542,check2
47.jpg,7786.951604856247,check2
48.jpg,1373.6640216473093,check2
49.jpg,39505.70539544196,check2
5.jpg,6896.816251131158,check2
50.jpg,4393.39104716036,check2
6.jpg,5039.630342565343,check2
7.jpg,4045.827776757939,check2
8.jpg,8497.150992765271,check2
9.jpg,13183.34896920334,check2
1.jpg,4295.236476707539,check3
10.jpg,4801.5748167022075,check3
11.jpg,4831.178405170687,check3
12.jpg,2067.6720715006013,check3
13.jpg,3661.146609844938,check3
14.jpg,1092.5130774459456,check3
15.jpg,7918.485324602234,check3
16.jpg,1920.620707694613,check3
17.jpg,879.7536768279737,check3
18.jpg,3795.4936439660332,check3
19.jpg,2352.970451915825,check3
2.jpg,2071.8007657878447,check3
20.jpg,1649.2622636670324,check3
21.jpg,822.1149336442705,check3
22.jpg,15778.275705206448,check3
23.jpg,5992.733680454606,check3
24.jpg,8151.236116802529,check3
25.jpg,14963.833172455772,check3
26.jpg,2093.208043376092,check3
27.jpg,5657.850058399901,check3
28.jpg,3802.8224363616973,check3
29.jpg,39162.19173326496,check3
3.jpg,3274.268688320667,check3
30.jpg,32027.175293260694,check3
31.jpg,33268.05555372227,check3
32.jpg,47779.016272491244,check3
33.jpg,8700.641332484147,check3
34.jpg,9035.783002299699,check3
35.jpg,21105.810220037187,check3
36.jpg,13507.267341124025,check3
37.jpg,929.4358077917135,check3
38.jpg,1837.9267988923887,check3
39.jpg,4493.549995466451,check3
4.jpg,738.1062726513736,check3
40.jpg,6094.613528593238,check3
41.jpg,2174.000813119563,check3
42.jpg,9569.689542789847,check3
43.jpg,7587.083115899827,check3
44.jpg,1952.5830147380582,check3
45.jpg,5111.254803025985,check3
46.jpg,4532.322510107216,check3
47.jpg,602.0906658498311,check3
48.jpg,2166.0070835222355,check3
49.jpg,2960.350182351744,check3
5.jpg,4460.472663453201,check3
50.jpg,3403.348320707983,check3
6.jpg,4251.569353984625,check3
7.jpg,4121.24738384177,check3
8.jpg,7768.949627894951,check3
9.jpg,4340.170138497295,check3
1.jpg,2156.059008805268,check4
10.jpg,5792.138960654415,check4
11.jpg,2415.2049470557517,check4
12.jpg,1836.0461171510467,check4
13.jpg,1474.3155689704224,check4
14.jpg,3631.25526741811,check4
15.jpg,3776.6148158478168,check4
16.jpg,2516.4506129396304,check4
17.jpg,4253.217047465736,check4
18.jpg,984.8663853236607,check4
19.jpg,2442.838409968785,check4
2.jpg,1601.5283164862842,check4
20.jpg,1700.8944502071458,check4
21.jpg,4545.843031279895,check4
22.jpg,5549.6757440590845,check4
23.jpg,2435.40034453564,check4
24.jpg,1439.5393613583342,check4
25.jpg,1298.63030009367,check4
