Image,Contrast,Folder
10.jpg,7030.849341083098,check4
11.jpg,4530.252669709367,check4
12.jpg,6179.143131121057,check4
13.jpg,6331.13106881594,check4
14.jpg,4911.842841542399,check4
15.jpg,9770.325888529265,check4
16.jpg,5001.26654196997,check4
17.jpg,5884.658907558659,check4
18.jpg,1415.8115128100492,check4
19.jpg,3591.7042014087456,check4
2.jpg,5569.531958151043,check4
20.jpg,1711.206524715082,check4
21.jpg,5817.647859419647,check4
22.jpg,13315.568321237559,check4
23.jpg,4422.262429385918,check4
24.jpg,9293.261382838975,check4
25.jpg,2065.395419450066,check4
26.jpg,3166.3145091522733,check4
27.jpg,4502.369095582259,check4
28.jpg,2357.8655284165043,check4
29.jpg,7034.587991996487,check4
3.jpg,2398.4758314695123,check4
30.jpg,5775.418300702939,check4
31.jpg,6937.999387465036,check4
32.jpg,1717.2295388583589,check4
33.jpg,4847.649677929606,check4
34.jpg,3370.1782792920326,check4
35.jpg,3846.667432909358,check4
36.jpg,12991.216277093903,check4
37.jpg,3296.211470886748,check4
38.jpg,3285.097407049063,check4
39.jpg,3137.426006005735,check4
4.jpg,6458.072764670338,check4
40.jpg,4178.735847291624,check4
41.jpg,2291.4848717999726,check4
42.jpg,5559.780846109195,check4
43.jpg,13463.579863254748,check4
44.jpg,1230.2862033863853,check4
45.jpg,7194.406228517899,check4
46.jpg,722.894526368824,check4
47.jpg,4334.966911471621,check4
48.jpg,3406.1000560294183,check4
49.jpg,3854.288926492776,check4
5.jpg,3678.0317711105254,check4
50.jpg,3850.360866173264,check4
6.jpg,9129.018695987003,check4
7.jpg,6335.790327723946,check4
8.jpg,4906.908726807387,check4
9.jpg,9828.672877043202,check4
1.jpg,6128.7943583214,check5
10.jpg,10445.762665962688,check5
11.jpg,7356.0602504932,check5
12.jpg,6208.345788371805,check5
13.jpg,14399.414694824203,check5
14.jpg,5296.710578330206,check5
15.jpg,13572.963343625066,check5
16.bmp,3294.925523317044,check5
17.jpg,11370.483558128893,check5
18.jpg,1688.095441675643,check5
19.jpg,12442.185507456594,check5
2.jpg,1239.7457536870565,check5
20.jpg,1833.553236343721,check5
21.jpg,20931.438362867917,check5
22.jpg,6486.775429239077,check5
23.jpg,11535.307396885157,check5
24.jpg,22009.899059996314,check5
25.jpg,35425.66252745534,check5
26.jpg,12547.199036346383,check5
27.jpg,7907.198247714919,check5
28.jpg,17919.294750946057,check5
29.jpg,9680.56736050224,check5
3.jpg,23158.20950884225,check5
30.jpg,8426.90958793796,check5
31.jpg,8376.029491240259,check5
32.jpg,3085.881358409217,check5
33.jpg,6067.670289859032,check5
34.jpg,4413.074892537388,check5
35.jpg,4846.035919446441,check5
36.jpg,9140.170574919077,check5
37.jpg,574.6222505609178,check5
38.jpg,2782.093427117096,check5
39.jpg,12787.529971413887,check5
4.jpg,10160.166453058051,check5
40.jpg,20827.52682870033,check5
41.jpg,7721.322252202462,check5
42.jpg,6885.715124979461,check5
43.jpg,4889.763082495534,check5
44.jpg,6062.361805551204,check5
45.jpg,3957.5578607017424,check5
46.jpg,14073.360123931045,check5
47.jpg,3880.5445836423487,check5
48.jpg,4462.150527995012,check5
49.jpg,8168.5620086428435,check5
5.jpg,9388.170488642334,check5
50.jpg,11059.683261857037,check5
6.jpg,10680.391965885552,check5
7.jpg,18729.572442089306,check5
8.jpg,26742.752790787075,check5
9.jpg,10082.66752710148,check5
1.jpg,27327.726323607163,check6
10.jpg,22169.26760048888,check6
11.jpg,19958.532293514327,check6
12.jpg,9092.387073380207,check6
13.jpg,14183.003215301635,check6
14.jpg,35628.33368735927,check6
15.jpg,19155.16438972667,check6
16.jpg,29944.777145849668,check6
17.jpg,9597.3440115284,check6
18.jpg,25322.50131799737,check6
19.jpg,36531.89247720433,check6
2.jpg,20927.57476005848,check6
20.jpg,16150.682513534104,check6
21.jpg,20927.57476005848,check6
22.jpg,16561.43957990728,check6
23.jpg,6598.0605473226415,check6
24.jpg,7340.4893036679105,check6
25.jpg,19554.22647493673,check6
26.jpg,31810.67457065002,check6
27.jpg,29216.18194998527,check6
28.jpg,21135.9723239372,check6
29.jpg,22724.667188527237,check6
3.jpg,28391.764363226124,check6
30.jpg,10458.413136832569,check6
31.jpg,30604.51762509614,check6
32.jpg,6407.904471549924,check6
33.jpg,23304.822736012848,check6
34.jpg,7378.892037794421,check6
35.jpg,17093.370725364002,check6
36.jpg,45591.80773894641,check6
37.jpg,5246.98965534137,check6
38.jpg,28224.431834812312,check6
39.jpg,18185.562567924175,check6
4.jpg,12991.007506097272,check6
40.jpg,15524.97998107726,check6
41.jpg,15297.460943459571,check6
42.jpg,2336.2875759243125,check6
43.jpg,2967.2043129354156,check6
44.jpg,10668.383086223992,check6
45.jpg,3913.529375367838,check6
46.jpg,5670.768285505874,check6
47.jpg,6924.635755301018,check6
48.jpg,9438.314852942136,check6
49.jpg,22724.667188527237,check6
5.jpg,7754.428564300839,check6
50.jpg,20652.25644389871,check6
6.jpg,3610.4814748958665,check6
7.jpg,13075.010548195207,check6
8.jpg,38682.62735584924,check6
9.jpg,13433.343577112073,check6
1.jpg,25142.09851381651,check7
10.jpg,37476.81275818836,check7
11.jpg,21112.922466093776,check7
12.jpg,25116.990535670546,check7
13.jpg,27677.16427545217,check7
14.jpg,6201.002955386263,check7
15.jpg,36210.854506016374,check7
16.jpg,12005.884556283754,check7
17.jpg,32263.541567784952,check7
18.jpg,29292.894842850867,check7
19.jpg,11500.649469389115,check7
2.jpg,19474.51043794593,check7
20.jpg,27089.65219164789,check7
21.jpg,20450.48890403508,check7
22.jpg,27210.551797672193,check7
23.jpg,20789.111884875376,check7
24.jpg,27865.607804415173,check7
25.jpg,25675.809463637215,check7
26.jpg,14882.1515125428,check7
27.jpg,16684.370415264544,check7
28.jpg,7543.622380419901,check7
29.jpg,23362.340557651285,check7
3.jpg,45528.97216437767,check7
30.jpg,9741.155710267209,check7
31.jpg,61068.593596927516,check7
32.jpg,11621.828712771603,check7
33.jpg,9476.523849156438,check7
34.jpg,13451.814395527597,check7
35.jpg,13145.40103042488,check7
36.jpg,14249.849576362616,check7
37.jpg,26603.318510347082,check7
38.jpg,36764.95216978932,check7
39.jpg,4154.303993749003,check7
4.jpg,6244.415170627055,check7
40.jpg,10135.373247393663,check7
41.jpg,20810.566958602594,check7
42.jpg,10739.96756475203,check7
43.jpg,22055.520926313464,check7
44.jpg,8990.743999169797,check7
45.jpg,20293.57066685177,check7
46.jpg,27891.291669124665,check7
47.jpg,6865.301202787552,check7
48.jpg,5354.106322460102,check7
49.jpg,3883.576201458367,check7
5.jpg,24224.11473230142,check7
50.jpg,15910.451732044467,check7
6.jpg,8759.577846770186,check7
7.jpg,10275.728657574316,check7
8.jpg,21173.398001223195,check7
