Image;Contrast;Folder;;
2.jpg;7.766.322.935.847.410;check9;;
20.jpg;5.546.787.799.737.890;check9;;
21.jpg;37.334.716.773.420.400;check9;;
22.jpg;9.531.386.996.244.990;check9;;
23.jpg;5.645.738.606.502.390;check9;;
24.jpg;3.269.492.555.248.490;check9;;
25.jpg;3.000.985.856.767.590;check9;;
26.jpg;3.948.058.814.376.450;check9;;
27.jpg;14.558.077.973.876.500;check9;;
28.jpg;7.791.077.826.401.830;check9;;
29.jpg;22.015.097.745.730.900;check9;;
3.jpg;6.279.280.958.055.300;check9;;
30.jpg;8.890.005.514.104.380;check9;;
31.jpg;516.571.813.334.251;check9;;
32.jpg;13.117.344.291.520.900;check9;;
33.jpg;5.254.088.225.781.940;check9;;
34.jpg;2.518.698.575.291.710;check9;;
35.jpg;95.105.679.997.381;check9;;
36.jpg;1.711.282.392.238.090;check9;;
37.jpg;1.640.915.452.057.100;check9;;
38.jpg;26.983.391.489.900.300;check9;;
39.jpg;15.368.958.372.509.300;check9;;
4.jpg;120.173.289.289.542;check9;;
40.jpg;15.818.416.891.889.600;check9;;
41.jpg;908.016.098.191.469;check9;;
42.jpg;27.561.092.545.791.300;check9;;
43.jpg;12.258.843.590.915.500;check9;;
44.jpg;42.279.828.320.507.200;check9;;
45.jpg;2.383.293.874.910.720;check9;;
46.jpg;3.307.201.495.896.390;check9;;
47.jpg;4.048.244.018.232.950;check9;;
48.jpg;502.475.466.927.207;check9;;
49.jpg;42.438.713.515.923.900;check9;;
5.jpg;38.298.746.184.794.300;check9;;
50.jpg;6.828.174.868.485.720;check9;;
6.jpg;63.193.803.418.710.300;check9;;
7.jpg;19.251.308.795.260.000;check9;;
8.jpg;74.958.092.265.226.400;check9;;
9.jpg;7.277.529.491.191.000;check9;;
1.jpg;3.831.439.168.105.300;check10;;
10.jpg;30.884.945.516.857.100;check10;;
11.jpg;856.233.535.138.352;check10;;
12.jpg;3.566.438.953.072.520;check10;;
13.jpg;9.917.507.648.078.760;check10;;
14.jpg;4.239.537.684.147.670;check10;;
15.jpg;29.272.170.543.983.200;check10;;
16.jpg;1.962.393.664.803.990;check10;;
17.jpg;15.146.637.757.345.000;check10;;
18.jpg;36.348.743.724.919.900;check10;;
19.jpg;25.061.736.296.436.400;check10;;
2.jpg;31.858.049.234.117.700;check10;;
20.jpg;30.637.109.207.324.900;check10;;
21.jpg;21.956.542.074.086.700;check10;;
22.jpg;4.390.044.325.082.210;check10;;
23.jpg;30.271.324.325.090.800;check10;;
24.jpg;10.680.183.995.829.100;check10;;
25.jpg;2.655.421.864.759.220;check10;;
26.jpg;4.341.373.823.415.770;check10;;
27.jpg;24.802.692.364.658.500;check10;;
28.jpg;359.752.600.113.572;check10;;
29.jpg;1.699.649.358.803.520;check10;;
3.jpg;16.787.026.654.625.500;check10;;
30.jpg;34.972.874.441.465.000;check10;;
31.jpg;32.493.859.537.627.400;check10;;
32.jpg;38.014.730.683.795.000;check10;;
33.jpg;10.424.357.995.403.000;check10;;
34.jpg;4.321.832.513.747.990;check10;;
35.jpg;1.640.087.657.933.860;check10;;
36.jpg;8.027.132.206.430.240;check10;;
37.jpg;42.781.250.398.519.000;check10;;
38.jpg;38.433.140.548.629.300;check10;;
39.jpg;397.434.037.093.858;check10;;
4.jpg;9.782.807.751.821.600;check10;;
40.jpg;2.529.915.152.409.010;check10;;
41.jpg;17.335.163.346.648.800;check10;;
42.jpg;30.373.241.415.529.400;check10;;
43.jpg;39.145.760.128.148.300;check10;;
44.jpg;1.516.882.731.040.200;check10;;
45.jpg;42.046.320.699.683.000;check10;;
46.jpg;3.404.096.783.828.570;check10;;
47.jpg;43.529.535.504.100.400;check10;;
48.jpg;3.968.863.441.928.670;check10;;
49.jpg;19.621.127.216.940.800;check10;;
5.jpg;258.949.482.650.308;check10;;
50.jpg;15.219.816.932.814.400;check10;;
6.jpg;13.164.020.190.599.600;check10;;
7.jpg;3.170.401.101.919.350;check10;;
8.jpg;2.440.776.591.397.920;check10;;
9.jpg;2.889.368.685.196.850;check10;;
