Image,Contrast,Folder
41.jpg,75206.22427588333,check2
42.jpg,38569.429424649716,check2
43.jpg,54803.20351881109,check2
44.jpg,11798.306283177459,check2
45.jpg,92802.4644558516,check2
46.jpg,62994.32056839612,check2
47.jpg,15385.315750944668,check2
48.jpg,2773.413002403415,check2
49.jpg,69499.22499792917,check2
5.jpg,24934.73132003282,check2
50.jpg,12210.337812125807,check2
6.jpg,10434.650180592631,check2
7.jpg,10980.49364377657,check2
8.jpg,20643.640018537808,check2
9.jpg,34652.40645898218,check2
1.jpg,10312.960345076006,check3
10.jpg,16055.92360715179,check3
11.jpg,11086.273875594388,check3
12.jpg,6384.108184267908,check3
13.jpg,14660.188279818416,check3
14.jpg,3044.5811457028244,check3
15.jpg,11233.868239558473,check3
16.jpg,5049.550071267871,check3
17.jpg,2615.2614123091407,check3
18.jpg,9212.022553162295,check3
19.jpg,7001.93568063249,check3
2.jpg,4711.651028246246,check3
20.jpg,5031.949444247305,check3
21.jpg,2236.569310612105,check3
22.jpg,27804.320047703448,check3
23.jpg,12746.261982984119,check3
24.jpg,17877.475348892036,check3
25.jpg,24123.80503160603,check3
26.jpg,5108.308956509678,check3
27.jpg,16690.979040063656,check3
28.jpg,12344.432534754056,check3
29.jpg,60945.98246883819,check3
3.jpg,6085.274229822235,check3
30.jpg,62937.88619522135,check3
31.jpg,58741.08609623812,check3
32.jpg,76468.93683213246,check3
33.jpg,15310.390401052562,check3
34.jpg,18750.93020460199,check3
35.jpg,40585.31403054639,check3
36.jpg,24974.82264848612,check3
37.jpg,3415.316202728115,check3
38.jpg,5058.696182289107,check3
39.jpg,11697.020438670916,check3
4.jpg,1174.9590591464826,check3
40.jpg,20100.218697021624,check3
41.jpg,9101.630772531455,check3
42.jpg,27211.154140947066,check3
43.jpg,22700.343545719068,check3
44.jpg,4658.208156059802,check3
45.jpg,15097.252332141625,check3
46.jpg,10707.524190830021,check3
47.jpg,1996.0794686405222,check3
48.jpg,6099.231417818399,check3
49.jpg,6821.687019516159,check3
5.jpg,13045.551960659941,check3
50.jpg,12868.797388725807,check3
6.jpg,11445.730278748762,check3
7.jpg,11225.254227287915,check3
8.jpg,14962.41607490255,check3
9.jpg,12577.813363347736,check3
1.jpg,3494.298904728761,check4
10.jpg,9812.234730316568,check4
11.jpg,6150.660601445905,check4
12.jpg,5608.982103009762,check4
13.jpg,2001.778578135432,check4
14.jpg,10702.652022349044,check4
15.jpg,11186.11785378311,check4
16.jpg,5960.542605538709,check4
17.jpg,6726.154918144367,check4
18.jpg,2396.03289999519,check4
19.jpg,5098.640298979227,check4
2.jpg,4253.927653829042,check4
20.jpg,3082.802620388478,check4
21.jpg,9696.634682590988,check4
22.jpg,7806.614941374157,check4
23.jpg,7999.508015698962,check4
24.jpg,4342.269879710918,check4
25.jpg,2006.3031329703501,check4
26.jpg,4332.0773668968395,check4
27.jpg,4470.403592113652,check4
28.jpg,1751.904453744694,check4
29.jpg,4723.998972289416,check4
3.jpg,1504.7896122994,check4
30.jpg,8744.808869761458,check4
31.jpg,11622.762132274864,check4
32.jpg,1202.047886728496,check4
33.jpg,5315.901535954092,check4
34.jpg,3562.032025350724,check4
35.jpg,5748.361314688557,check4
36.jpg,11259.230936770537,check4
37.jpg,2045.1385871731504,check4
38.jpg,3305.366688006622,check4
39.jpg,1891.3513980787627,check4
4.jpg,6892.75862418647,check4
40.jpg,4991.594709784822,check4
41.jpg,1818.2664991007002,check4
42.jpg,8457.18299155849,check4
43.jpg,11227.777712649178,check4
44.jpg,1245.8302484370927,check4
45.jpg,6892.481052650902,check4
46.jpg,788.983682945836,check4
47.jpg,5078.07889790398,check4
48.jpg,2784.4789923588864,check4
49.jpg,4714.543436100065,check4
5.jpg,5489.809371026345,check4
50.jpg,3614.6941991418366,check4
6.jpg,11035.159411517741,check4
7.jpg,4784.611703074311,check4
8.jpg,4866.950469293479,check4
9.jpg,12151.259209379856,check4
1.jpg,14110.311343169222,check5
10.jpg,13533.20043563843,check5
11.jpg,13312.895923326534,check5
