Folder;Filename;Mean;Skew;;;
check10;3.jpg;8.223.156.489.158.160;0.4796269789860269;;;
check10;30.jpg;861.244.818.239.796;0.4306572244633196;;;
check10;31.jpg;8.922.142.059.948.970;0.4150114674270529;;;
check10;32.jpg;8.902.162.388.392.850;0.3402236685603136;;;
check10;33.jpg;7.811.712.771.045.910;0.5517408333749257;;;
check10;34.jpg;9.802.042.809.311.220;0.3234995209325728;;;
check10;35.jpg;822.520.527.742.347;0.4865295663339147;;;
check10;36.jpg;7.851.979.033.801.020;0.553434059331301;;;
check10;37.jpg;983.370.137.117.347;0.3329316995930562;;;
check10;38.jpg;9.422.433.035.714.280;0.3766822813227082;;;
check10;39.jpg;8.983.711.336.096.930;0.3822809979006323;;;
check10;4.jpg;815.523.756.377.551;0.45899818887021127;;;
check10;40.jpg;8.217.498.405.612.240;0.4815726447289473;;;
check10;41.jpg;729.661.790.497.449;0.5090450587058016;;;
check10;42.jpg;11.231.915.656.887.700;0.10394787144904316;;;
check10;43.jpg;10.250.440.449.617.300;0.24884487324073307;;;
check10;44.jpg;7.959.034.199.617.340;0.5332753310227951;;;
check10;45.jpg;9.678.071.189.413.260;0.3412115846955619;;;
check10;46.jpg;8.154.009.885.204.080;0.43442135231410967;;;
check10;47.jpg;9.850.699.537.627.550;0.31631102761083896;;;
check10;48.jpg;10.449.324.378.188.700;0.21596468785211484;;;
check10;49.jpg;8.317.869.100.765.300;0.4580455156233171;;;
check10;5.jpg;11.444.046.954.719.300;0.18178929693420418;;;
check10;50.jpg;8.054.432.397.959.180;0.5047313671047227;;;
check10;6.jpg;8.125.404.575.892.850;0.47312373752206655;;;
check10;7.jpg;10.354.605.787.627.500;0.2244875271265764;;;
check10;8.jpg;8.903.194.754.464.280;0.4087359076402377;;;
check10;9.jpg;8.645.772.879.464.280;0.4893354956100283;;;
check2;1.jpg;11.307.595.264.668.300;0.8889996759857878;;;
check2;10.jpg;1.548.223.652.742.340;-0.9151897170466625;;;
check2;11.jpg;7.188.673.867.984.690;11.187.182.771.999.300;;;
check2;12.jpg;8.521.000.079.719.380;10.153.525.039.367.400;;;
check2;13.jpg;11.458.055.644.132.600;0.41148625658331517;;;
check2;14.jpg;11.839.859.693.877.500;0.21929048790379663;;;
check2;15.jpg;14.146.332.908.163.200;-0.7441676588819675;;;
check2;16.jpg;1.898.045.280.612.240;-11.134.580.473.729.500;;;
check2;17.jpg;8.308.723.294.005.100;0.6813406262395337;;;
check2;18.jpg;9.553.782.684.948.970;0.19026807693591266;;;
check2;19.jpg;1.207.574.537.627.550;-0.004883106285477145;;;
check2;2.jpg;12.160.090.481.505.100;0.860569041068315;;;
check2;20.jpg;8.289.995.216.836.730;0.5634021044903746;;;
check2;21.jpg;8.753.794.642.857.140;0.4093864769574584;;;
check2;22.jpg;1.172.217.793.367.340;0.09631206498380178;;;
check2;23.jpg;11.278.051.259.566.300;0.7640379103919362;;;
check2;24.jpg;9.209.506.536.989.790;0.3246874736978403;;;
check2;25.jpg;6.905.098.054.846.930;13.278.826.409.340.500;;;
check2;26.jpg;10.224.041.374.362.200;0.834511917391135;;;
check2;27.jpg;10.196.163.504.464.200;0.04390783065682627;;;
check2;28.jpg;9.787.310.666.454.080;0.31186691327179666;;;
check2;29.jpg;13.779.370.615.433.600;-0.27783420708960593;;;
check2;3.jpg;9.633.344.626.913.260;0.18391381784329303;;;
check2;30.jpg;10.663.773.517.219.300;0.5325330957881006;;;
check2;31.jpg;11.384.291.294.642.800;0.07952221549493481;;;
check2;32.jpg;9.268.634.406.887.750;0.6085806426476464;;;
check2;33.jpg;11.150.892.857.142.800;100.617.499.736.202;;;
check2;34.jpg;11.126.837.531.887.700;0.26345268019893947;;;
check2;35.jpg;10.382.170.758.928.500;-0.2019593337773709;;;
check2;36.jpg;10.667.972.735.969.300;0.5621526251147008;;;
check2;37.jpg;10.552.859.933.035.700;-0.36247382925156824;;;
check2;38.jpg;61.073.361.766.581.600;12.484.131.824.434.900;;;
check2;39.jpg;8.359.042.171.556.120;0.9903372872682924;;;
check2;4.jpg;10.123.923.788.265.300;0.6804083090829648;;;
check2;40.jpg;712.549.824.617.347;15.591.289.509.887.100;;;
check2;41.jpg;689.130.859.375;0.9114805652113712;;;
check2;42.jpg;9.913.950.892.857.140;0.22448134795709387;;;
check2;43.jpg;11.422.279.575.892.800;0.8842872398649695;;;
check2;44.jpg;11.983.920.599.489.700;-0.0730376223658277;;;
check2;45.jpg;9.671.914.859.693.870;10.426.310.443.461.500;;;
check2;46.jpg;1.016.922.831.632.650;0.7792382295887396;;;
check2;47.jpg;1.481.718.152.104.590;-0.5021712910429637;;;
check2;48.jpg;15.208.087.531.887.700;-0.5471462423990725;;;
check2;49.jpg;1.346.081.393.494.890;-0.1388820595300317;;;
check2;5.jpg;8.969.036.989.795.910;0.8562341193211533;;;
check2;50.jpg;11.224.916.294.642.800;0.03655882105701826;;;
check2;6.jpg;13.883.426.339.285.700;-0.27473026024056;;;
