Folder;Filename;Mean;Skew;;;
check2;14.jpg;11.841.816.804.846.900;0.22129271355906818;;;
check2;15.jpg;1.414.637.675.382.650;-0.744191163001501;;;
check2;16.jpg;1.898.136.360.012.750;-11.127.828.398.575.100;;;
check2;17.jpg;8.309.185.666.454.080;0.6819069474652171;;;
check2;18.jpg;8.654.805.086.096.930;0.19128807953276286;;;
check2;19.jpg;12.342.801.339.285.700;-0.002783347556021386;;;
check2;2.jpg;12.172.004.544.005.100;0.8650255196031796;;;
check2;20.jpg;8.290.013.153.698.970;0.5633279137425196;;;
check2;21.jpg;875.361.328.125;0.4092951808504254;;;
check2;22.jpg;11.726.508.689.413.200;0.09783832962541253;;;
check2;23.jpg;11.296.801.259.566.300;0.7847715058541588;;;
check2;24.jpg;8.561.762.595.663.260;0.3250064253913062;;;
check2;25.jpg;6.905.486.686.862.240;13.280.967.539.095.800;;;
check2;26.jpg;11.366.659.359.056.100;0.832544473308168;;;
check2;27.jpg;9.599.354.272.959.180;0.042705013539974614;;;
check2;28.jpg;9.174.609.375;0.3101942022788963;;;
check2;29.jpg;13.294.178.491.709.100;-0.2805860724916434;;;
check2;3.jpg;865.287.786.989.796;0.18475711804320732;;;
check2;30.jpg;10.663.988.759.566.300;0.5325508213620062;;;
check2;31.jpg;11.384.889.190.051.000;0.07962869565684252;;;
check2;32.jpg;9.268.646.364.795.910;0.6085740435993444;;;
check2;33.jpg;11.163.066.007.653.000;1.015.622.359.852.210;;;
check2;34.jpg;11.131.638.632.015.300;0.2637571381238927;;;
check2;35.jpg;10.379.960.538.903.000;-0.20515184462920205;;;
check2;36.jpg;10.668.797.831.632.600;0.5627674649337566;;;
check2;37.jpg;10.553.107.063.137.700;-0.36231689215143476;;;
check2;38.jpg;6.106.546.954.719.380;12.490.798.204.062.000;;;
check2;39.jpg;8.359.115.911.989.790;0.9903701939613896;;;
check2;4.jpg;10.123.828.125;0.6803653429884867;;;
check2;40.jpg;7.122.040.417.729.590;15.553.419.423.733.800;;;
check2;41.jpg;6.891.039.540.816.320;0.9123670692872624;;;
check2;42.jpg;9.913.984.773.596.930;0.22451194171460953;;;
