Image,Contrast,Folder
8.jpg,5819.912133975905,check2
9.jpg,15203.304249753557,check2
1.jpg,3008.491295370843,check3
10.jpg,4091.9805127008412,check3
11.jpg,1609.2012661842941,check3
12.jpg,958.6259543384328,check3
13.jpg,3095.0172126731095,check3
14.jpg,675.2579442667296,check3
15.jpg,4682.4815185353045,check3
16.jpg,877.5574965371732,check3
17.jpg,460.73429831679994,check3
18.jpg,2612.023545167884,check3
19.jpg,680.4239990630779,check3
2.jpg,1431.4588854311905,check3
20.jpg,1053.5533210598692,check3
21.jpg,545.7452348786958,check3
22.jpg,11076.507833338637,check3
23.jpg,3862.7161801392617,check3
24.jpg,4408.411642345475,check3
25.jpg,10291.958633365653,check3
26.jpg,1554.5629783163265,check3
27.jpg,5182.049300974282,check3
28.jpg,2896.2880908051716,check3
29.jpg,28442.87787443199,check3
3.jpg,1452.6473787391944,check3
30.jpg,25762.946788086785,check3
31.jpg,22638.11082648357,check3
32.jpg,40024.28198041959,check3
33.jpg,3872.2760507503376,check3
34.jpg,4531.157091724629,check3
35.jpg,11885.600539748046,check3
36.jpg,7808.604530442114,check3
37.jpg,653.0287268136949,check3
38.jpg,1281.6216456783854,check3
39.jpg,2757.6778782419938,check3
4.jpg,347.8805883837362,check3
40.jpg,4985.820825315029,check3
41.jpg,1709.1828664404707,check3
42.jpg,7969.528546618899,check3
43.jpg,5560.971276794459,check3
44.jpg,1346.8367707972625,check3
45.jpg,2487.1453134949033,check3
46.jpg,2445.2748689663404,check3
47.jpg,502.0752549733484,check3
48.jpg,1203.7684309124104,check3
49.jpg,1376.7093632692897,check3
5.jpg,1947.6887120028825,check3
50.jpg,2589.120077317876,check3
6.jpg,3155.7038586277704,check3
7.jpg,3013.4515042442026,check3
8.jpg,5274.341933675033,check3
9.jpg,3121.3789950664313,check3
1.jpg,1690.6013174215886,check4
10.jpg,4757.675715095347,check4
11.jpg,2480.3303895225035,check4
12.jpg,1704.9705056468927,check4
13.jpg,1363.117698354852,check4
14.jpg,3484.037325309743,check4
15.jpg,3630.457507620053,check4
16.jpg,2270.8447064737734,check4
17.jpg,3441.9774466947133,check4
18.jpg,762.0159527239626,check4
19.jpg,2706.741583566773,check4
2.jpg,1180.4729914218374,check4
20.jpg,1330.3997521692395,check4
21.jpg,3825.6909633304413,check4
22.jpg,5953.924180986483,check4
23.jpg,2405.678036511416,check4
24.jpg,527.4612686331201,check4
25.jpg,904.1378554567005,check4
26.jpg,2190.937147967471,check4
27.jpg,2220.2112203039555,check4
28.jpg,496.2993514197214,check4
29.jpg,3504.824080505753,check4
3.jpg,447.0645976148015,check4
30.jpg,4778.301463065173,check4
31.jpg,4741.128189485701,check4
32.jpg,685.8480288161184,check4
33.jpg,1985.050247611825,check4
34.jpg,1262.9312519163252,check4
35.jpg,3224.5232823982383,check4
36.jpg,3147.1600716244125,check4
37.jpg,626.3421135691492,check4
38.jpg,762.9951560140797,check4
39.jpg,344.755341909171,check4
4.jpg,3749.2651429273646,check4
40.jpg,1240.6988451221694,check4
41.jpg,662.4275006628295,check4
42.jpg,3105.5857353794327,check4
43.jpg,3701.4378386322333,check4
44.jpg,424.8517595042491,check4
45.jpg,2515.4855178902912,check4
46.jpg,256.8342786035852,check4
47.jpg,1978.5974396400181,check4
48.jpg,656.5395802657141,check4
49.jpg,1671.9179866775676,check4
5.jpg,1988.6450374715282,check4
50.jpg,840.9326552578132,check4
6.jpg,6016.880908498959,check4
7.jpg,1819.7076941700293,check4
8.jpg,2534.975379951792,check4
9.jpg,4147.351634045037,check4
1.jpg,7636.737239102034,check5
10.jpg,5097.999530799782,check5
11.jpg,8588.94063664992,check5
12.jpg,8153.379066266701,check5
13.jpg,22670.650931488613,check5
14.jpg,3839.6509360007976,check5
15.jpg,11067.853744405156,check5
16.bmp,4892.156574746164,check5
17.jpg,9876.786362472447,check5
18.jpg,313.1906792538606,check5
19.jpg,6067.958491187551,check5
2.jpg,2221.3993904398963,check5
20.jpg,382.10253416861354,check5
21.jpg,3041.2458914451327,check5
22.jpg,6822.724327099715,check5
23.jpg,10384.00351178671,check5
24.jpg,3945.0532474398665,check5
25.jpg,38475.2507993737,check5
26.jpg,4687.731803137379,check5
27.jpg,3095.1089107603993,check5
28.jpg,21594.742046205265,check5
29.jpg,7258.2496172810825,check5
3.jpg,29135.856750780218,check5
30.jpg,8968.61145746842,check5
31.jpg,8856.226719688642,check5
32.jpg,4601.9397709567265,check5
33.jpg,10102.926189763803,check5
34.jpg,3336.575867455088,check5
35.jpg,4172.728651371662,check5
36.jpg,5916.933671991412,check5
37.jpg,115.86918531105647,check5
38.jpg,1765.8481994145911,check5
39.jpg,5715.405596181781,check5
4.jpg,12259.615792009941,check5
40.jpg,4347.687793030634,check5
41.jpg,3054.3785316502235,check5
42.jpg,5268.411155455612,check5
43.jpg,3252.537760501006,check5
44.jpg,2698.0071075690485,check5
45.jpg,5367.144689875312,check5
46.jpg,11885.835664886577,check5
47.jpg,3169.6117153298806,check5
48.jpg,3567.904686548868,check5
49.jpg,1281.539611256753,check5
5.jpg,4416.714616232939,check5
50.jpg,9650.961462837911,check5
6.jpg,17246.36579509896,check5
7.jpg,28136.86749476028,check5
8.jpg,20022.98481359287,check5
9.jpg,1945.420818050421,check5
1.jpg,2226.118857144217,check6
10.jpg,7538.2252917970945,check6
11.jpg,6928.638505664383,check6
12.jpg,1234.3814402540145,check6
13.jpg,2171.046450908856,check6
14.jpg,23473.71471214533,check6
15.jpg,2963.4355785678895,check6
16.jpg,11707.5263384172,check6
17.jpg,3151.4279320683895,check6
18.jpg,11781.743348915248,check6
19.jpg,1993.0969221722034,check6
2.jpg,1500.6363082418638,check6
20.jpg,4182.380904115473,check6
21.jpg,1500.6363082418638,check6
22.jpg,2229.6184931969156,check6
23.jpg,188.5037818342286,check6
24.jpg,9818.991999141575,check6
25.jpg,10847.215049031476,check6
26.jpg,1597.9349158246137,check6
27.jpg,4031.536737815781,check6
28.jpg,12691.274258817746,check6
29.jpg,8153.938160150361,check6
3.jpg,8230.505826496075,check6
30.jpg,6567.775026091831,check6
31.jpg,10898.150516451222,check6
32.jpg,1251.2999410565722,check6
33.jpg,2694.1040477693105,check6
34.jpg,270.3157837310467,check6
35.jpg,5465.282201163623,check6
36.jpg,13998.789626204538,check6
37.jpg,1458.4041877692566,check6
38.jpg,11259.173179559339,check6
39.jpg,10503.847639979149,check6
4.jpg,3378.962071308738,check6
40.jpg,7498.25248070629,check6
41.jpg,2876.8456202212697,check6
42.jpg,831.6472462146096,check6
43.jpg,441.21351374372347,check6
44.jpg,12999.381603826836,check6
45.jpg,1367.1538542859112,check6
46.jpg,881.2562310160424,check6
47.jpg,1422.853395116473,check6
48.jpg,3146.2981977403188,check6
49.jpg,8153.938160150361,check6
5.jpg,1521.1590404578021,check6
50.jpg,11039.155793912507,check6
6.jpg,724.6669345297253,check6
7.jpg,5705.535487710809,check6
8.jpg,18311.054020040385,check6
